City,AQI,Times
Glassport,34.28571429,Feb-22
McKeesport,48,Feb-22
Millvale,38.28571429,Feb-22
Pittsburgh,34.17857143,Feb-22
Avalon,36.67741935,Mar-22
Braddock,39.67741935,Mar-22
Glassport,32.80645161,Mar-22
McKeesport,47,Mar-22
Millvale,33.74193548,Mar-22
Pittsburgh,28.44086022,Mar-22
Avalon,31.5,Apr-22
Braddock,32.33333333,Apr-22
Glassport,29.36666667,Apr-22
McKeesport,36.73333333,Apr-22
Millvale,30,Apr-22
Pittsburgh,21.13333333,Apr-22
Avalon,33.4516129,May-22
Braddock,33.83870968,May-22
Glassport,37.38709677,May-22
McKeesport,39.09677419,May-22
Millvale,29.38709677,May-22
Pittsburgh,26.15053763,May-22
Avalon,40.1,Jun-22
Braddock,43.43333333,Jun-22
Glassport,41.3,Jun-22
McKeesport,52.83333333,Jun-22
Millvale,39.38888889,Jun-22
Pittsburgh,30.88888889,Jun-22
Avalon,36.96666667,Jul-22
Braddock,45.03225806,Jul-22
Glassport,38.5483871,Jul-22
McKeesport,53.70967742,Jul-22
Millvale,42.29032258,Jul-22
Pittsburgh,39.83870968,Jul-22
Avalon,35.24137931,Aug-22
Braddock,37.13793103,Aug-22
Glassport,36.64285714,Aug-22
McKeesport,46.27586207,Aug-22
Millvale,37.51724138,Aug-22
Pittsburgh,37.52873563,Aug-22
