Station,AQI,Times
Lawrenceville,55.51612903,202107
Liberty (SAHS),58.20689655,202107
Parkway East (Near Road),54.70967742,202107
Avalon,44.04545455,202108
Glassport High Street,35.18181818,202108
Lawrenceville,48.83870968,202108
Liberty (SAHS),53.09677419,202108
Manchester,45.40909091,202108
North Braddock,51.18181818,202108
Parkway East (Near Road),51.09677419,202108
Avalon,37.33333333,202109
Glassport High Street,35.03333333,202109
Lawrenceville,34.7,202109
Liberty (SAHS),42.66666667,202109
Manchester,34.93333333,202109
North Braddock,55.8,202109
Parkway East (Near Road),35.83333333,202109
Avalon,31.4516129,202110
Glassport High Street,33.22580645,202110
Lawrenceville,22.83870968,202110
Liberty (SAHS),37.83870968,202110
Manchester,31.29032258,202110
North Braddock,46.03225806,202110
Parkway East (Near Road),32.48387097,202110
Avalon,38.66666667,202111
Glassport High Street,34,202111
Lawrenceville,19.93333333,202111
Liberty (SAHS),48.1,202111
Manchester,34.6,202111
North Braddock,45.36666667,202111
Parkway East (Near Road),36.16666667,202111
Avalon,38,202112
Glassport High Street,31.51612903,202112
Lawrenceville,30.77419355,202112
Liberty (SAHS),43.35483871,202112
Manchester,39.64516129,202112
North Braddock,55.74193548,202112
Parkway East (Near Road),36.90322581,202112
Avalon,40.38709677,202201
Glassport High Street,30.4516129,202201
Lawrenceville,24.4516129,202201
Liberty (SAHS),42.32258065,202201
Manchester,32.74193548,202201
North Braddock,53.41935484,202201
Parkway East (Near Road),38.51612903,202201
Avalon,39.35714286,202202
Glassport High Street,34.28571429,202202
Lawrenceville,18.82142857,202202
Liberty (SAHS),48,202202
Manchester,38.28571429,202202
North Braddock,55.78571429,202202
Parkway East (Near Road),38.75,202202
Avalon,36.67741935,202203
Glassport High Street,32.80645161,202203
Lawrenceville,15.48387097,202203
Liberty (SAHS),47,202203
Manchester,33.74193548,202203
North Braddock,39.67741935,202203
Parkway East (Near Road),35.25806452,202203
Avalon,31.5,202204
Glassport High Street,29.36666667,202204
Lawrenceville,4.133333333,202204
Liberty (SAHS),36.73333333,202204
Manchester,30,202204
North Braddock,32.33333333,202204
Parkway East (Near Road),30.03333333,202204
Avalon,33.4516129,202205
Glassport High Street,37.38709677,202205
Lawrenceville,13.06451613,202205
Liberty (SAHS),39.09677419,202205
Manchester,29.38709677,202205
North Braddock,33.83870968,202205
Parkway East (Near Road),34.48387097,202205
Avalon,40.1,202206
Glassport High Street,41.3,202206
Lawrenceville,9.7,202206
Liberty (SAHS),52.83333333,202206
Manchester,39.38888889,202206
North Braddock,43.43333333,202206
Parkway East (Near Road),43.23333333,202206
Avalon,36.96666667,202207
Glassport High Street,38.5483871,202207
Lawrenceville,26.83870968,202207
