City,AQI,Times
Pittsburgh,28.44086022,2022/03
Avalon,31.5,2022/04
Braddock,32.33333333,2022/04
Glassport,29.36666667,2022/04
McKeesport,36.73333333,2022/04
Millvale,30,2022/04
Pittsburgh,21.13333333,2022/04
Avalon,33.4516129,2022/05
Braddock,33.83870968,2022/05
Glassport,37.38709677,2022/05
McKeesport,39.09677419,2022/05
Millvale,29.38709677,2022/05
Pittsburgh,26.15053763,2022/05
Avalon,40.1,2022/06
Braddock,43.43333333,2022/06
Glassport,41.3,2022/06
McKeesport,52.83333333,2022/06
Millvale,39.38888889,2022/06
Pittsburgh,30.88888889,2022/06
Avalon,36.96666667,2022/07
Braddock,45.03225806,2022/07
Glassport,38.5483871,2022/07
McKeesport,53.70967742,2022/07
Millvale,42.29032258,2022/07
Pittsburgh,39.83870968,2022/07
Avalon,35.24137931,2022/08
Braddock,37.13793103,2022/08
Glassport,36.64285714,2022/08
McKeesport,46.27586207,2022/08
Millvale,37.51724138,2022/08
Pittsburgh,37.52873563,2022/08
