Station,AQI,Month,Date
Liberty (SAHS),40.93548387,2020/01,01/15/20
Parkway East (Near Road),34.38709677,2020/01,01/15/20
Lawrenceville,40.37931034,2020/02,02/15/20
Liberty (SAHS),46.03448276,2020/02,02/15/20
Parkway East (Near Road),35.37931034,2020/02,02/15/20
Lawrenceville,39.03225806,2020/03,03/15/20
Liberty (SAHS),42.29032258,2020/03,03/15/20
Parkway East (Near Road),33.74193548,2020/03,03/15/20
Lawrenceville,36.2,2020/04,04/15/20
Liberty (SAHS),34.1,2020/04,04/15/20
Parkway East (Near Road),29.4,2020/04,04/15/20
Lawrenceville,23.91666667,2020/05,05/15/20
Liberty (SAHS),31.25806452,2020/05,05/15/20
Parkway East (Near Road),28.29032258,2020/05,05/15/20
Lawrenceville,33.8,2020/06,06/15/20
Liberty (SAHS),39.45454545,2020/06,06/15/20
Parkway East (Near Road),38.03333333,2020/06,06/15/20
Lawrenceville,42.09677419,2020/07,07/15/20
Liberty (SAHS),49.77419355,2020/07,07/15/20
Parkway East (Near Road),46.67741935,2020/07,07/15/20
Lawrenceville,36.77419355,2020/08,08/15/20
Liberty (SAHS),40.64516129,2020/08,08/15/20
Parkway East (Near Road),40.4516129,2020/08,08/15/20
Lawrenceville,38.23333333,2020/09,09/15/20
Liberty (SAHS),37.5,2020/09,09/15/20
Parkway East (Near Road),36.36666667,2020/09,09/15/20
Lawrenceville,32.67741935,2020/10,10/15/20
Liberty (SAHS),39.35483871,2020/10,10/15/20
Parkway East (Near Road),35.4516129,2020/10,10/15/20
Lawrenceville,45.8,2020/11,11/15/20
Liberty (SAHS),57.93333333,2020/11,11/15/20
Parkway East (Near Road),40.73333333,2020/11,11/15/20
Lawrenceville,35.19354839,2020/12,12/15/20
Liberty (SAHS),43.06451613,2020/12,12/15/20
Parkway East (Near Road),34.32258065,2020/12,12/15/20
Lawrenceville,40.87096774,2021/01,01/15/21
Liberty (SAHS),40.96774194,2021/01,01/15/21
Parkway East (Near Road),37.93548387,2021/01,01/15/21
Lawrenceville,44.32142857,2021/02,02/15/21
Liberty (SAHS),43.75,2021/02,02/15/21
Parkway East (Near Road),42.96428571,2021/02,02/15/21
Lawrenceville,36.25806452,2021/03,03/15/21
Liberty (SAHS),45.16129032,2021/03,03/15/21
Parkway East (Near Road),34.80645161,2021/03,03/15/21
Lawrenceville,38.76666667,2021/04,04/15/21
Liberty (SAHS),49.26666667,2021/04,04/15/21
Parkway East (Near Road),38.33333333,2021/04,04/15/21
Lawrenceville,36.48387097,2021/05,05/15/21
Liberty (SAHS),47.51612903,2021/05,05/15/21
Parkway East (Near Road),37.51612903,2021/05,05/15/21
Lawrenceville,42.8,2021/06,06/15/21
Liberty (SAHS),52.76666667,2021/06,06/15/21
Parkway East (Near Road),45.96666667,2021/06,06/15/21
Lawrenceville,55.51612903,2021/07,07/15/21
Liberty (SAHS),58.20689655,2021/07,07/15/21
Parkway East (Near Road),54.70967742,2021/07,07/15/21
Avalon,44.04545455,2021/08,08/15/21
Glassport High Street,35.18181818,2021/08,08/15/21
Lawrenceville,48.83870968,2021/08,08/15/21
Liberty (SAHS),53.09677419,2021/08,08/15/21
Manchester,45.40909091,2021/08,08/15/21
North Braddock,51.18181818,2021/08,08/15/21
